ID,Communication,Programming,Data Analysis,Creativity,Management,AI/ML,Design,Finance,Career Goal
1,7,1,3,9,6,3,6,10,Project Manager
2,7,7,3,6,2,3,10,4,Business Analyst
3,10,3,10,1,6,6,6,4,UI/UX Designer
4,3,8,6,7,4,7,6,7,UI/UX Designer
5,8,2,1,9,5,8,7,9,Business Analyst
6,5,6,9,10,2,5,5,9,Software Developer
7,4,7,4,3,6,4,7,9,Business Analyst
8,5,1,10,6,2,1,10,5,Financial Analyst
9,3,10,5,6,1,1,3,1,AI Engineer
10,10,7,3,4,7,1,7,3,Data Analyst
11,8,9,3,7,6,10,3,6,UI/UX Designer
12,4,9,9,3,2,5,6,1,Software Developer
13,7,4,3,9,3,2,3,10,UI/UX Designer
14,3,4,3,7,7,9,5,3,Digital Marketer
15,5,9,10,5,1,10,3,3,Machine Learning Eng.
16,4,5,9,1,3,10,7,8,Data Analyst
17,7,5,10,9,10,5,7,2,Graphic Designer
18,7,3,1,10,2,6,9,3,AI Engineer
19,1,2,8,9,4,10,8,4,Software Developer
20,6,6,7,6,4,7,3,3,Machine Learning Eng.
21,8,5,5,10,3,2,3,3,Project Manager
22,10,9,5,2,9,6,10,6,Software Developer
23,6,2,5,8,9,5,8,7,Graphic Designer
24,9,10,8,8,9,6,8,9,Machine Learning Eng.
25,9,10,2,2,4,3,4,3,AI Engineer
26,7,7,1,10,7,9,1,2,Project Manager
27,5,6,7,5,8,1,5,10,Machine Learning Eng.
28,9,10,3,4,7,10,9,3,Machine Learning Eng.
29,5,8,4,8,8,8,6,5,Financial Analyst
30,4,5,2,5,10,6,2,6,Graphic Designer
31,6,10,1,7,3,5,7,2,Business Analyst
32,8,4,4,9,3,7,5,7,Data Analyst
33,2,3,1,1,6,10,3,10,Software Developer
34,9,9,6,10,5,10,6,3,Project Manager
35,5,9,2,10,3,10,9,8,Digital Marketer
36,5,6,9,9,1,8,2,3,Machine Learning Eng.
37,8,6,6,7,6,10,8,10,Data Analyst
38,10,5,6,9,8,4,10,5,Financial Analyst
39,9,7,1,9,7,5,5,5,UI/UX Designer
40,1,5,5,2,8,4,8,2,Data Analyst
41,2,9,9,1,1,4,1,3,Graphic Designer
42,9,10,1,8,7,5,10,8,Business Analyst
43,4,3,5,3,6,8,9,9,Business Analyst
44,10,2,4,7,7,3,4,7,Business Analyst
45,10,1,4,3,2,7,10,7,AI Engineer
46,1,5,10,5,6,2,6,3,Graphic Designer
47,5,7,3,5,4,8,7,3,UI/UX Designer
48,6,10,8,2,10,10,5,4,AI Engineer
49,3,5,2,8,3,8,9,3,UI/UX Designer
50,9,2,7,7,1,10,4,6,Software Developer
51,4,5,2,5,1,7,7,3,Financial Analyst
52,3,6,9,7,6,2,7,9,Graphic Designer
53,4,5,5,7,9,10,6,6,Business Analyst
54,6,8,2,5,4,10,4,7,Machine Learning Eng.
55,8,3,1,2,9,7,1,2,UI/UX Designer
56,10,2,9,1,1,5,6,6,Digital Marketer
57,4,4,2,1,7,2,5,9,Financial Analyst
58,3,3,10,9,8,7,7,2,Financial Analyst
59,6,2,1,2,7,4,10,6,AI Engineer
60,7,4,7,10,6,2,9,6,Project Manager
61,1,3,3,2,10,10,10,6,Digital Marketer
62,6,8,7,1,8,2,5,6,Financial Analyst
63,6,2,5,10,5,4,4,3,AI Engineer
64,6,1,3,10,10,8,2,6,Software Developer
65,5,9,1,8,7,2,5,5,Digital Marketer
66,1,7,2,3,5,8,4,10,UI/UX Designer
67,4,3,2,1,5,1,7,9,UI/UX Designer
68,6,9,3,4,8,1,8,4,UI/UX Designer
69,3,5,5,10,6,4,5,5,Data Analyst
70,7,4,8,10,3,2,6,2,UI/UX Designer
71,3,5,7,10,7,6,1,2,AI Engineer
72,10,9,9,9,10,9,5,4,Business Analyst
73,8,3,7,3,10,1,8,3,Business Analyst
74,5,10,10,7,6,4,9,5,AI Engineer
75,4,9,1,3,1,3,6,9,UI/UX Designer
76,7,9,9,1,1,6,8,1,Machine Learning Eng.
77,8,5,4,1,7,3,5,2,AI Engineer
78,3,10,7,10,5,7,9,1,Software Developer
79,8,5,6,7,5,9,4,10,Project Manager
80,2,5,10,6,3,8,8,8,Business Analyst
81,10,5,9,1,9,4,9,8,Business Analyst
82,2,2,10,6,7,6,6,9,Business Analyst
83,5,2,7,9,6,6,9,7,UI/UX Designer
84,7,3,3,9,1,10,1,4,Data Analyst
85,8,7,7,1,1,7,1,7,Graphic Designer
86,1,8,3,9,7,3,10,6,Business Analyst
87,10,1,4,9,10,6,6,8,Digital Marketer
88,8,3,4,8,10,6,1,7,UI/UX Designer
89,4,6,10,10,9,2,4,9,AI Engineer
90,8,1,1,7,1,3,9,1,Business Analyst
91,6,7,2,1,5,10,9,2,Business Analyst
92,2,2,6,3,6,5,8,9,Project Manager
93,3,1,10,1,10,3,3,8,Digital Marketer
94,3,9,6,5,7,5,4,1,Data Analyst
95,10,4,10,2,5,6,9,10,Graphic Designer
96,3,1,6,7,5,8,5,4,Data Analyst
97,8,1,5,9,7,3,8,2,Graphic Designer
98,4,6,5,2,8,2,6,1,Data Analyst
99,9,6,6,6,9,5,1,10,Financial Analyst
100,10,9,2,3,3,4,2,5,Data Analyst
