HTML,CSS,JavaScript,Node.js,React.js,Angular,Vue.js,Python,SQL,MongoDB,Java,C++,C#,PHP,Ruby,Swift,Kotlin,Go,TypeScript,Express.js,Django,Flask,Spring,.NET,Docker,Kubernetes,AWS,Azure,GCP,GraphQL,RESTful APIs,Machine Learning,Data Analysis,UI/UX Design,Testing,Agile,DevOps,Security,Database Admin,Mobile Dev (Android),Mobile Dev (iOS),Game Dev,Embedded Systems,Blockchain,PowerBI,Tableau,Git,Selenium,Communication,Leadership,Teamwork,ProblemSolving,TimeManagement,CriticalThinking,Adaptability,Creativity,AttentionToDetail,Presentation,Negotiation,ConflictResolution,Empathy,DecisionMaking,StressManagement,Experience,YearsOfCoding,NumberOfProjects,GitHubContributions,StackOverflowReputation,Education,Certification,PreferredRole,SalaryExpectation
2,5,4,1,5,5,4,3,5,5,0,2,0,2,2,3,4,0,5,2,0,5,1,0,2,2,2,5,1,4,0,2,3,3,3,0,2,4,5,3,2,4,1,3,0,5,0,1,3,3,4,3,5,5,3,3,4,4,5,4,3,3,5,12.2,14,37,700,2054,Bachelor's,1,Frontend Developer,149376
5,0,4,5,2,5,5,3,4,4,3,3,5,5,1,1,3,4,1,5,0,0,2,5,1,5,1,0,3,4,3,5,0,0,3,4,4,1,5,1,3,1,3,0,0,0,3,3,5,3,3,4,4,4,3,5,5,3,5,5,5,5,3,5.2,4,33,609,1069,Master's,0,Security Engineer,83143
1,3,4,1,5,0,1,0,5,3,1,2,4,3,0,5,5,0,3,4,3,0,3,3,3,5,2,0,1,0,5,2,1,5,1,4,5,1,2,2,3,1,0,0,1,1,4,1,5,5,3,3,4,3,3,5,3,3,4,3,3,3,5,4.5,2,32,372,861,Master's,0,Software Engineer,73940
2,5,3,4,3,5,4,4,1,4,0,4,4,5,2,0,3,0,3,3,2,1,2,1,4,2,0,5,5,5,3,0,0,1,5,0,0,5,5,4,3,2,5,1,5,4,3,4,3,4,4,4,3,3,4,3,3,3,5,5,3,4,3,4.3,2,20,398,1053,PhD,0,Backend Developer,95144
5,2,3,3,5,2,3,5,3,2,5,0,5,2,5,3,5,3,3,3,5,0,3,4,2,4,2,1,3,5,4,1,2,5,5,5,3,3,1,2,4,3,0,1,2,2,1,1,4,4,4,4,3,4,3,3,3,5,4,4,5,3,4,2.1,5,21,560,634,Bachelor's,0,Software Engineer,70601
2,1,0,3,1,0,4,5,4,0,2,3,3,4,2,5,3,3,2,3,5,2,0,2,5,3,2,4,4,5,5,4,0,1,0,0,5,4,4,5,1,1,4,5,5,3,3,2,4,5,5,4,3,4,5,3,3,4,3,3,5,4,5,8.9,7,30,626,1373,High School,0,Data Analyst,93374
5,3,1,4,5,4,4,3,1,2,5,4,2,2,4,2,1,2,0,5,3,0,1,0,1,1,4,5,4,0,5,2,3,5,5,5,5,0,0,4,4,1,0,4,5,5,1,5,4,3,4,3,5,3,5,3,3,5,4,5,5,5,5,6.4,8,26,721,1708,Master's,0,Mobile Developer,116545
1,1,1,1,0,1,1,1,2,1,1,5,3,3,3,2,0,5,2,1,4,5,4,0,2,0,4,3,1,4,5,3,3,4,0,3,4,2,5,2,0,0,1,5,4,3,1,3,4,5,3,5,4,4,4,4,4,4,5,5,4,5,3,4.1,4,29,637,868,PhD,0,Data Scientist,94729
3,1,5,4,1,0,5,1,3,3,3,3,0,1,5,0,3,5,1,1,0,2,4,4,5,0,3,1,0,1,2,1,2,4,5,2,5,0,5,4,1,4,1,2,0,0,5,0,5,4,3,3,3,5,4,3,5,3,5,4,4,4,3,5.7,4,26,601,569,High School,1,Security Engineer,73719
0,2,2,0,2,0,0,5,1,4,0,2,5,3,3,4,4,1,3,1,5,4,0,1,2,4,4,0,2,5,2,2,1,1,1,0,1,4,2,5,5,5,5,0,5,5,4,3,5,3,4,5,5,3,5,3,4,4,3,3,3,3,3,5.0,4,25,277,1106,Master's,0,Mobile Developer,74490
4,1,1,0,2,2,4,0,5,5,0,3,2,2,0,4,3,1,5,1,5,0,0,3,4,2,2,5,2,3,4,3,5,5,4,0,3,2,2,3,4,2,1,2,3,3,0,3,5,5,4,5,3,4,3,4,3,4,4,4,4,5,5,5.8,0,28,3,576,PhD,0,Backend Developer,96447
3,1,5,0,0,3,1,1,4,2,4,1,1,1,2,5,2,0,2,1,1,0,3,0,2,3,1,4,1,3,3,5,2,3,1,5,0,0,0,3,2,1,4,2,3,5,4,2,5,5,3,3,3,4,3,5,5,5,5,4,5,5,4,5.0,5,17,551,1284,Associate's,1,Data Scientist,91223
4,0,0,5,4,4,0,3,5,5,5,0,4,3,0,5,2,4,3,1,5,0,4,4,2,4,5,1,2,1,3,1,5,1,2,0,1,4,5,1,5,1,0,5,5,2,2,1,4,3,5,4,3,4,5,4,5,3,4,4,3,4,4,7.3,9,25,871,1298,Master's,0,DevOps Engineer,116279
4,1,2,0,0,2,0,4,1,4,3,4,1,4,1,1,0,3,1,1,4,2,0,3,2,1,0,3,4,2,1,0,0,4,2,2,4,3,5,5,3,2,5,1,4,5,4,3,4,4,3,4,5,4,4,3,4,3,3,5,3,3,4,6.8,8,36,564,888,Bachelor's,1,DevOps Engineer,125262
5,2,0,4,4,2,1,0,4,4,4,1,1,4,4,2,2,1,1,3,3,0,0,3,3,3,4,5,4,1,0,3,2,5,2,2,2,4,4,0,4,3,3,2,2,4,0,1,4,5,3,3,4,5,5,3,4,4,3,5,4,4,5,4.4,5,19,678,1309,Bachelor's,0,Mobile Developer,96682
4,4,2,4,3,5,3,4,3,5,0,2,3,3,5,0,3,3,0,0,4,4,4,4,5,4,0,5,4,2,0,3,2,0,2,5,5,4,2,1,4,0,0,5,0,1,1,4,5,3,5,3,5,5,3,5,5,5,3,4,4,4,5,4.0,5,22,687,548,High School,0,Full-Stack Developer,104625
2,0,1,4,1,2,3,5,0,1,5,4,5,1,3,2,1,5,2,3,5,4,0,1,4,1,4,1,4,3,0,0,4,4,4,5,1,5,2,2,1,3,1,4,5,3,3,5,4,5,4,4,5,4,5,5,4,3,3,3,5,5,4,6.6,6,26,380,1261,Master's,0,Security Engineer,86173
5,2,4,5,0,4,3,0,4,1,3,2,4,2,3,1,2,3,0,4,2,0,1,5,5,5,1,5,5,4,1,0,5,2,0,0,1,5,3,2,4,2,3,5,2,2,2,0,4,4,3,3,4,3,5,5,4,3,3,4,5,3,3,-0.9,3,13,527,509,PhD,1,Full-Stack Developer,56838
3,3,3,1,5,4,5,1,0,5,5,1,0,0,1,4,1,0,1,5,4,3,3,2,4,4,4,1,0,5,5,3,4,3,5,3,3,0,2,4,1,5,0,0,1,1,0,2,4,3,5,5,4,3,4,5,4,3,3,5,5,5,5,1.5,0,13,226,873,Associate's,0,Software Engineer,50000
5,5,3,2,4,5,0,5,3,1,5,5,4,4,4,3,4,2,4,3,2,1,2,3,1,4,3,3,3,4,2,5,1,2,1,5,5,1,3,5,2,2,4,0,4,2,2,2,4,5,4,3,4,3,4,3,5,5,4,3,3,4,4,2.8,2,14,488,1068,Associate's,0,Software Engineer,50000
5,4,1,2,0,0,0,0,2,2,4,4,4,4,0,1,4,0,4,3,0,5,5,0,1,0,1,5,5,2,5,5,5,0,1,3,3,1,5,1,1,3,4,2,5,1,5,1,4,3,3,5,4,5,5,4,4,3,4,3,4,4,4,8.6,11,39,951,1246,Bachelor's,0,DevOps Engineer,127131
1,1,4,0,5,4,0,2,4,2,3,5,5,5,2,3,0,2,4,0,5,1,0,4,2,3,5,2,1,1,3,4,4,5,1,2,3,4,2,1,3,1,0,2,1,5,0,3,5,3,5,4,3,3,3,5,4,4,5,3,3,5,3,6.0,8,24,784,1560,High School,0,Full-Stack Developer,109094
0,3,1,4,0,2,1,2,4,1,3,1,5,3,2,5,2,5,4,4,1,0,5,3,1,3,1,4,4,5,5,5,3,1,3,2,0,3,5,1,1,2,2,5,5,0,2,1,4,3,5,3,4,5,3,3,3,4,5,3,3,3,3,6.0,6,29,646,743,High School,1,Full-Stack Developer,84429
